Identifer,Creator,Title ,Date,Description,Repository
DS1,Nintendo ,Nintendo DSI,2008,Handheld Console,Wren Doyle
WII1,Nintendo,Nintendo Wii,2008,Console,Wren Doyle
DS2,HAL Laboratory,Kirby Superstar Deluxe,2008,DS Cartridge,Wren Doyle
WII2,HAL Laboratory,Kirby's Return to Dreamland,1/1/2011,CD ROM (Wii),Wren Doyle
DS3,HAL Laboratory,Kirby Mass Attack,2011,DS Cartridge,Wren Doyle
DS4,Gamefreak,Pokemon Heartgold,2009,DS Cartridge,Wren Doyle
DS5,Gamefreak,Pokemon Black,2010,DS Cartridge,Wren Doyle
DS6,Gamefreak,Pokemon White 2,2012,DS Cartridge,Wren Doyle
DS7,Gamefreak,Pokemon Conquest,2012,DS Cartridge,Wren Doyle
WII3,Nintendo,New Super Mario Bros. Wii,2008,CD ROM (Wii),Wren Doyle
WII4,Nintendo,Wii Sports,2008,CD ROM (Wii),Wren Doyle
WII5,EA,Harry Potter and the Half Blood Prince,2009,CD ROM (Wii),Wren Doyle
WII6,Sora Ltd.,Super Smash Brothers Brawl,2008,CD ROM (Wii),Wren Doyle
PSP1,Sony (Playstation),Playstation Portable,2005,Handheld Console (Scratched Screen),Wren Doyle
PS1,Sony (Playstation),Playstation 4 (PS4),2013,Console,Wren Doyle
PSP2,EA UK,Harry Potter 4,2005,Universal Media Disc (UMD),Wren Doyle
PSP3,Traveller's Tales,Lego Batman,2008,Universal Media Disc (UMD),Wren Doyle
PSP4,Traveller's Tales,Lego Indiana Jones,2008,Universal Media Disc (UMD),Wren Doyle
PSP5,Japan Studios,Loco Roco 2,2008,Universal Media Disc (UMD),Wren Doyle
PSP6,Digital Eclipse,Sega Genesis Collection,2006,Universal Media Disc (UMD),Wren Doyle
PSP7,Sonic Team,Sonic Rivals,2006,Universal Media Disc (UMD),Wren Doyle
PSP8,Sonic Team,Sonic Rivals 2,2007,Universal Media Disc (UMD),Wren Doyle
PSP9,Dice,Star Wars Battlefront 2,2005,Universal Media Disc (UMD),Wren Doyle
PSP10,Rolito,Patapon,2007,Universal Media Disc (UMD),Wren Doyle
PSP11,Rolito,Patapon 2,2008,Game on SD Card,Wren Doyle
PSP12,Rolito,Patapon 3,2011,Universal Media Disc (UMD),Wren Doyle
PS2,FromSoftware,Bloodborne,2015,CD ROM (PS4),Wren Doyle
PS3,idSoftware,Doom Eternal,2021,CD ROM (PS4),Wren Doyle
PS4,Santa Monica Studios,God of War (2018),2018,CD ROM (PS4),Wren Doyle
XBT1,Microsoft,Xbox 360,2005,Console,Wren Doyle
XBO1,Microsoft,Xbox One,2013,Console,Wren Doyle
XBT2,343 Industries,Halo 3 : ODST,2009,CD ROM (360),Wren Doyle
XBT3,343 Industries,Halo 4,2012,CD ROM (360),Wren Doyle
XBT4,343 Industries,Halo Reach,2010,CD ROM (360),Wren Doyle
XBO2,Bethesda Gameworks,Fallout 4,2015,CD ROM (XB1),Wren Doyle
XBO3,343 Industries,Halo 5 : Guardians,2015,CD ROM (XB1),Wren Doyle
PS5,Sony (Playstation),Dualshock 4 Controller,2013,Console Controller,Wren Doyle
XBT5,Microsoft,Xbox 360 Controller,2005,Console Controller,Wren Doyle
XBO4,Microsoft,Xbox One Controller,2013,Console Controller,Wren Doyle
PC1,Wren / Andrew Doyle,Custom PC ,2015,Personal Computer,Wren Doyle
PC2,Maxis,Spore,2008,CD ROM (PC),Wren Doyle
LT1,Alienware,Alienware m15 R7 AMD,2022,Laptop (Gaming),Wren Doyle
PC3,Westwood Studios,Dune 2000,1998,CD ROM (PC),Wren Doyle
PC4,EA Redwood,Lord of the Rings: The Return of the King,2003,CD ROM (PC),Wren Doyle
PC5,Argonaut Games,Harry Potter and the Sorcerer's Stone,2001,CD ROM (PC),Wren Doyle
PC6,EA UK,Harry Potter and the Chamber of Secrets,2002,CD ROM (PC),Wren Doyle
PC7,KnowWonder,Harry Potter and the Prisoner of Azkaban,2004,CD ROM (PC),Wren Doyle
PC8,Traveller's Tales,Transformers the Game,2007,CD ROM (PC),Wren Doyle
PC9,EA UK,Quidditch World Cup,2003,CD ROM (PC),Wren Doyle
PC10,Valve,Portal 2,2011,CD ROM (360),Wren Doyle
PC11,BlackHammer Games,I Spy Spooky Mansion Deluxe,2004,CD ROM (PC),Wren Doyle
PC12,Traveller's Tales,Lego Star Wars : The Complete Saga,2007,CD ROM (PC),Wren Doyle
DND1,Wizards of the Coast,Dungeons and Dragons 5th Edition Player's Handbook,2014,TTRPG Handbook,Wren Doyle
DND2,Wizards of the Coast,Dungeons and Dragons 5th Edition Player's Handbook,2014,TTRPG Handbook,Wren Doyle
DND3,Wizards of the Coast,Dungeons and Dragons 5th Edition Player's Handbook,2014,TTRPG Handbook,Wren Doyle
DND4,Wizards of the Coast,Out of the Abyss,2015,TTRPG Campaign Book,Wren Doyle
PZO1,Paizo,Player Core,2019,TTRPG Handbook,Wren Doyle
PZO2,Paizo,Pathfinder 2nd Edition Advanced Player's Guide,2019,TTRPG Handbook,Wren Doyle
CS1,Wren Doyle,Assorted Character Sheets,2014 - Present,Paper Character Sheets,Wren Doyle
STM1,Wren Doye,Steam Library,2015 - Present,Digital Collection of Games,Wren Doyle
XBT6,FromSoftware,Dark Souls II,2014,CD ROM (360),Wren Doyle
XBO5,FromSoftware,Dark Souls III,2016,CD ROM (XB1),Wren Doyle
